# group	order	row-major I(i,j) = index of g_j * g_i^-1, 1-based
D5	10	1 2 3 4 5 6 7 8 9 10 5 1 2 3 4 7 8 9 10 6 4 5 1 2 3 8 9 10 6 7 3 4 5 1 2 9 10 6 7 8 2 3 4 5 1 10 6 7 8 9 6 7 8 9 10 1 2 3 4 5 7 8 9 10 6 5 1 2 3 4 8 9 10 6 7 4 5 1 2 3 9 10 6 7 8 3 4 5 1 2 10 6 7 8 9 2 3 4 5 1
D6	12	1 2 3 4 5 6 7 8 9 10 11 12 3 1 2 6 4 5 8 9 7 11 12 10 2 3 1 5 6 4 9 7 8 12 10 11 4 5 6 1 2 3 10 11 12 7 8 9 6 4 5 3 1 2 11 12 10 8 9 7 5 6 4 2 3 1 12 10 11 9 7 8 7 8 9 10 11 12 1 2 3 4 5 6 8 9 7 11 12 10 3 1 2 6 4 5 9 7 8 12 10 11 2 3 1 5 6 4 10 11 12 7 8 9 4 5 6 1 2 3 11 12 10 8 9 7 6 4 5 3 1 2 12 10 11 9 7 8 5 6 4 2 3 1
D7	14	1 2 3 4 5 6 7 8 9 10 11 12 13 14 7 1 2 3 4 5 6 9 10 11 12 13 14 8 6 7 1 2 3 4 5 10 11 12 13 14 8 9 5 6 7 1 2 3 4 11 12 13 14 8 9 10 4 5 6 7 1 2 3 12 13 14 8 9 10 11 3 4 5 6 7 1 2 13 14 8 9 10 11 12 2 3 4 5 6 7 1 14 8 9 10 11 12 13 8 9 10 11 12 13 14 1 2 3 4 5 6 7 9 10 11 12 13 14 8 7 1 2 3 4 5 6 10 11 12 13 14 8 9 6 7 1 2 3 4 5 11 12 13 14 8 9 10 5 6 7 1 2 3 4 12 13 14 8 9 10 11 4 5 6 7 1 2 3 13 14 8 9 10 11 12 3 4 5 6 7 1 2 14 8 9 10 11 12 13 2 3 4 5 6 7 1
D8	16	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 2 1 4 3 6 5 8 7 10 9 12 11 14 13 16 15 3 4 1 2 8 7 6 5 13 14 15 16 9 10 11 12 4 3 2 1 7 8 5 6 14 13 16 15 10 9 12 11 5 6 7 8 1 2 3 4 12 11 10 9 15 16 13 14 6 5 8 7 2 1 4 3 11 12 9 10 16 15 14 13 8 7 6 5 3 4 1 2 16 15 14 13 11 12 9 10 7 8 5 6 4 3 2 1 15 16 13 14 12 11 10 9 15 16 13 14 12 11 10 9 1 2 3 4 5 6 7 8 16 15 14 13 11 12 9 10 2 1 4 3 6 5 8 7 11 12 9 10 16 15 14 13 3 4 1 2 8 7 6 5 12 11 10 9 15 16 13 14 4 3 2 1 7 8 5 6 13 14 15 16 9 10 11 12 5 6 7 8 1 2 3 4 14 13 16 15 10 9 12 11 6 5 8 7 2 1 4 3 9 10 11 12 13 14 15 16 8 7 6 5 3 4 1 2 10 9 12 11 14 13 16 15 7 8 5 6 4 3 2 1
D9	18	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 3 1 2 6 4 5 9 7 8 11 12 10 14 15 13 17 18 16 2 3 1 5 6 4 8 9 7 12 10 11 15 13 14 18 16 17 9 7 8 1 2 3 4 5 6 13 14 15 16 17 18 11 12 10 8 9 7 3 1 2 6 4 5 14 15 13 17 18 16 12 10 11 7 8 9 2 3 1 5 6 4 15 13 14 18 16 17 10 11 12 6 4 5 9 7 8 1 2 3 16 17 18 11 12 10 14 15 13 5 6 4 8 9 7 3 1 2 17 18 16 12 10 11 15 13 14 4 5 6 7 8 9 2 3 1 18 16 17 10 11 12 13 14 15 10 11 12 13 14 15 16 17 18 1 2 3 4 5 6 7 8 9 11 12 10 14 15 13 17 18 16 3 1 2 6 4 5 9 7 8 12 10 11 15 13 14 18 16 17 2 3 1 5 6 4 8 9 7 13 14 15 16 17 18 11 12 10 9 7 8 1 2 3 4 5 6 14 15 13 17 18 16 12 10 11 8 9 7 3 1 2 6 4 5 15 13 14 18 16 17 10 11 12 7 8 9 2 3 1 5 6 4 16 17 18 11 12 10 14 15 13 6 4 5 9 7 8 1 2 3 17 18 16 12 10 11 15 13 14 5 6 4 8 9 7 3 1 2 18 16 17 10 11 12 13 14 15 4 5 6 7 8 9 2 3 1
Dic3	12	1 2 3 4 5 6 7 8 9 10 11 12 3 1 2 6 4 5 8 9 7 11 12 10 2 3 1 5 6 4 9 7 8 12 10 11 4 5 6 1 2 3 10 11 12 7 8 9 6 4 5 3 1 2 11 12 10 8 9 7 5 6 4 2 3 1 12 10 11 9 7 8 10 11 12 7 8 9 1 2 3 4 5 6 11 12 10 8 9 7 3 1 2 6 4 5 12 10 11 9 7 8 2 3 1 5 6 4 7 8 9 10 11 12 4 5 6 1 2 3 8 9 7 11 12 10 6 4 5 3 1 2 9 7 8 12 10 11 5 6 4 2 3 1
Dic5	20	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 5 1 2 3 4 10 6 7 8 9 12 13 14 15 11 17 18 19 20 16 4 5 1 2 3 9 10 6 7 8 13 14 15 11 12 18 19 20 16 17 3 4 5 1 2 8 9 10 6 7 14 15 11 12 13 19 20 16 17 18 2 3 4 5 1 7 8 9 10 6 15 11 12 13 14 20 16 17 18 19 6 7 8 9 10 1 2 3 4 5 16 17 18 19 20 11 12 13 14 15 10 6 7 8 9 5 1 2 3 4 17 18 19 20 16 12 13 14 15 11 9 10 6 7 8 4 5 1 2 3 18 19 20 16 17 13 14 15 11 12 8 9 10 6 7 3 4 5 1 2 19 20 16 17 18 14 15 11 12 13 7 8 9 10 6 2 3 4 5 1 20 16 17 18 19 15 11 12 13 14 16 17 18 19 20 11 12 13 14 15 1 2 3 4 5 6 7 8 9 10 17 18 19 20 16 12 13 14 15 11 5 1 2 3 4 10 6 7 8 9 18 19 20 16 17 13 14 15 11 12 4 5 1 2 3 9 10 6 7 8 19 20 16 17 18 14 15 11 12 13 3 4 5 1 2 8 9 10 6 7 20 16 17 18 19 15 11 12 13 14 2 3 4 5 1 7 8 9 10 6 11 12 13 14 15 16 17 18 19 20 6 7 8 9 10 1 2 3 4 5 12 13 14 15 11 17 18 19 20 16 10 6 7 8 9 5 1 2 3 4 13 14 15 11 12 18 19 20 16 17 9 10 6 7 8 4 5 1 2 3 14 15 11 12 13 19 20 16 17 18 8 9 10 6 7 3 4 5 1 2 15 11 12 13 14 20 16 17 18 19 7 8 9 10 6 2 3 4 5 1
Dic6	24	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 3 1 2 6 4 5 9 7 8 12 10 11 14 15 13 17 18 16 20 21 19 23 24 22 2 3 1 5 6 4 8 9 7 11 12 10 15 13 14 18 16 17 21 19 20 24 22 23 4 5 6 1 2 3 10 11 12 7 8 9 16 17 18 13 14 15 22 23 24 19 20 21 6 4 5 3 1 2 12 10 11 9 7 8 17 18 16 14 15 13 23 24 22 20 21 19 5 6 4 2 3 1 11 12 10 8 9 7 18 16 17 15 13 14 24 22 23 21 19 20 10 11 12 7 8 9 1 2 3 4 5 6 19 20 21 22 23 24 16 17 18 13 14 15 12 10 11 9 7 8 3 1 2 6 4 5 20 21 19 23 24 22 17 18 16 14 15 13 11 12 10 8 9 7 2 3 1 5 6 4 21 19 20 24 22 23 18 16 17 15 13 14 7 8 9 10 11 12 4 5 6 1 2 3 22 23 24 19 20 21 13 14 15 16 17 18 9 7 8 12 10 11 6 4 5 3 1 2 23 24 22 20 21 19 14 15 13 17 18 16 8 9 7 11 12 10 5 6 4 2 3 1 24 22 23 21 19 20 15 13 14 18 16 17 16 17 18 13 14 15 22 23 24 19 20 21 1 2 3 4 5 6 7 8 9 10 11 12 17 18 16 14 15 13 23 24 22 20 21 19 3 1 2 6 4 5 9 7 8 12 10 11 18 16 17 15 13 14 24 22 23 21 19 20 2 3 1 5 6 4 8 9 7 11 12 10 13 14 15 16 17 18 19 20 21 22 23 24 4 5 6 1 2 3 10 11 12 7 8 9 14 15 13 17 18 16 20 21 19 23 24 22 6 4 5 3 1 2 12 10 11 9 7 8 15 13 14 18 16 17 21 19 20 24 22 23 5 6 4 2 3 1 11 12 10 8 9 7 22 23 24 19 20 21 13 14 15 16 17 18 10 11 12 7 8 9 1 2 3 4 5 6 23 24 22 20 21 19 14 15 13 17 18 16 12 10 11 9 7 8 3 1 2 6 4 5 24 22 23 21 19 20 15 13 14 18 16 17 11 12 10 8 9 7 2 3 1 5 6 4 19 20 21 22 23 24 16 17 18 13 14 15 7 8 9 10 11 12 4 5 6 1 2 3 20 21 19 23 24 22 17 18 16 14 15 13 9 7 8 12 10 11 6 4 5 3 1 2 21 19 20 24 22 23 18 16 17 15 13 14 8 9 7 11 12 10 5 6 4 2 3 1
Dic7	28	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 7 1 2 3 4 5 6 14 8 9 10 11 12 13 16 17 18 19 20 21 15 23 24 25 26 27 28 22 6 7 1 2 3 4 5 13 14 8 9 10 11 12 17 18 19 20 21 15 16 24 25 26 27 28 22 23 5 6 7 1 2 3 4 12 13 14 8 9 10 11 18 19 20 21 15 16 17 25 26 27 28 22 23 24 4 5 6 7 1 2 3 11 12 13 14 8 9 10 19 20 21 15 16 17 18 26 27 28 22 23 24 25 3 4 5 6 7 1 2 10 11 12 13 14 8 9 20 21 15 16 17 18 19 27 28 22 23 24 25 26 2 3 4 5 6 7 1 9 10 11 12 13 14 8 21 15 16 17 18 19 20 28 22 23 24 25 26 27 8 9 10 11 12 13 14 1 2 3 4 5 6 7 22 23 24 25 26 27 28 15 16 17 18 19 20 21 14 8 9 10 11 12 13 7 1 2 3 4 5 6 23 24 25 26 27 28 22 16 17 18 19 20 21 15 13 14 8 9 10 11 12 6 7 1 2 3 4 5 24 25 26 27 28 22 23 17 18 19 20 21 15 16 12 13 14 8 9 10 11 5 6 7 1 2 3 4 25 26 27 28 22 23 24 18 19 20 21 15 16 17 11 12 13 14 8 9 10 4 5 6 7 1 2 3 26 27 28 22 23 24 25 19 20 21 15 16 17 18 10 11 12 13 14 8 9 3 4 5 6 7 1 2 27 28 22 23 24 25 26 20 21 15 16 17 18 19 9 10 11 12 13 14 8 2 3 4 5 6 7 1 28 22 23 24 25 26 27 21 15 16 17 18 19 20 22 23 24 25 26 27 28 15 16 17 18 19 20 21 1 2 3 4 5 6 7 8 9 10 11 12 13 14 23 24 25 26 27 28 22 16 17 18 19 20 21 15 7 1 2 3 4 5 6 14 8 9 10 11 12 13 24 25 26 27 28 22 23 17 18 19 20 21 15 16 6 7 1 2 3 4 5 13 14 8 9 10 11 12 25 26 27 28 22 23 24 18 19 20 21 15 16 17 5 6 7 1 2 3 4 12 13 14 8 9 10 11 26 27 28 22 23 24 25 19 20 21 15 16 17 18 4 5 6 7 1 2 3 11 12 13 14 8 9 10 27 28 22 23 24 25 26 20 21 15 16 17 18 19 3 4 5 6 7 1 2 10 11 12 13 14 8 9 28 22 23 24 25 26 27 21 15 16 17 18 19 20 2 3 4 5 6 7 1 9 10 11 12 13 14 8 15 16 17 18 19 20 21 22 23 24 25 26 27 28 8 9 10 11 12 13 14 1 2 3 4 5 6 7 16 17 18 19 20 21 15 23 24 25 26 27 28 22 14 8 9 10 11 12 13 7 1 2 3 4 5 6 17 18 19 20 21 15 16 24 25 26 27 28 22 23 13 14 8 9 10 11 12 6 7 1 2 3 4 5 18 19 20 21 15 16 17 25 26 27 28 22 23 24 12 13 14 8 9 10 11 5 6 7 1 2 3 4 19 20 21 15 16 17 18 26 27 28 22 23 24 25 11 12 13 14 8 9 10 4 5 6 7 1 2 3 20 21 15 16 17 18 19 27 28 22 23 24 25 26 10 11 12 13 14 8 9 3 4 5 6 7 1 2 21 15 16 17 18 19 20 28 22 23 24 25 26 27 9 10 11 12 13 14 8 2 3 4 5 6 7 1
DihZ2xZ2xZ3	24	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 3 1 2 6 4 5 9 7 8 12 10 11 14 15 13 17 18 16 20 21 19 23 24 22 2 3 1 5 6 4 8 9 7 11 12 10 15 13 14 18 16 17 21 19 20 24 22 23 4 5 6 1 2 3 10 11 12 7 8 9 16 17 18 13 14 15 22 23 24 19 20 21 6 4 5 3 1 2 12 10 11 9 7 8 17 18 16 14 15 13 23 24 22 20 21 19 5 6 4 2 3 1 11 12 10 8 9 7 18 16 17 15 13 14 24 22 23 21 19 20 7 8 9 10 11 12 1 2 3 4 5 6 19 20 21 22 23 24 13 14 15 16 17 18 9 7 8 12 10 11 3 1 2 6 4 5 20 21 19 23 24 22 14 15 13 17 18 16 8 9 7 11 12 10 2 3 1 5 6 4 21 19 20 24 22 23 15 13 14 18 16 17 10 11 12 7 8 9 4 5 6 1 2 3 22 23 24 19 20 21 16 17 18 13 14 15 12 10 11 9 7 8 6 4 5 3 1 2 23 24 22 20 21 19 17 18 16 14 15 13 11 12 10 8 9 7 5 6 4 2 3 1 24 22 23 21 19 20 18 16 17 15 13 14 13 14 15 16 17 18 19 20 21 22 23 24 1 2 3 4 5 6 7 8 9 10 11 12 14 15 13 17 18 16 20 21 19 23 24 22 3 1 2 6 4 5 9 7 8 12 10 11 15 13 14 18 16 17 21 19 20 24 22 23 2 3 1 5 6 4 8 9 7 11 12 10 16 17 18 13 14 15 22 23 24 19 20 21 4 5 6 1 2 3 10 11 12 7 8 9 17 18 16 14 15 13 23 24 22 20 21 19 6 4 5 3 1 2 12 10 11 9 7 8 18 16 17 15 13 14 24 22 23 21 19 20 5 6 4 2 3 1 11 12 10 8 9 7 19 20 21 22 23 24 13 14 15 16 17 18 7 8 9 10 11 12 1 2 3 4 5 6 20 21 19 23 24 22 14 15 13 17 18 16 9 7 8 12 10 11 3 1 2 6 4 5 21 19 20 24 22 23 15 13 14 18 16 17 8 9 7 11 12 10 2 3 1 5 6 4 22 23 24 19 20 21 16 17 18 13 14 15 10 11 12 7 8 9 4 5 6 1 2 3 23 24 22 20 21 19 17 18 16 14 15 13 12 10 11 9 7 8 6 4 5 3 1 2 24 22 23 21 19 20 18 16 17 15 13 14 11 12 10 8 9 7 5 6 4 2 3 1
DihZ2xZ2xZ4	32	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 2 1 4 3 6 5 8 7 10 9 12 11 14 13 16 15 18 17 20 19 22 21 24 23 26 25 28 27 30 29 32 31 3 4 1 2 7 8 5 6 11 12 9 10 15 16 13 14 19 20 17 18 23 24 21 22 27 28 25 26 31 32 29 30 4 3 2 1 8 7 6 5 12 11 10 9 16 15 14 13 20 19 18 17 24 23 22 21 28 27 26 25 32 31 30 29 5 6 7 8 1 2 3 4 13 14 15 16 9 10 11 12 21 22 23 24 17 18 19 20 29 30 31 32 25 26 27 28 6 5 8 7 2 1 4 3 14 13 16 15 10 9 12 11 22 21 24 23 18 17 20 19 30 29 32 31 26 25 28 27 7 8 5 6 3 4 1 2 15 16 13 14 11 12 9 10 23 24 21 22 19 20 17 18 31 32 29 30 27 28 25 26 8 7 6 5 4 3 2 1 16 15 14 13 12 11 10 9 24 23 22 21 20 19 18 17 32 31 30 29 28 27 26 25 9 10 11 12 13 14 15 16 1 2 3 4 5 6 7 8 26 25 28 27 30 29 32 31 18 17 20 19 22 21 24 23 10 9 12 11 14 13 16 15 2 1 4 3 6 5 8 7 25 26 27 28 29 30 31 32 17 18 19 20 21 22 23 24 11 12 9 10 15 16 13 14 3 4 1 2 7 8 5 6 28 27 26 25 32 31 30 29 20 19 18 17 24 23 22 21 12 11 10 9 16 15 14 13 4 3 2 1 8 7 6 5 27 28 25 26 31 32 29 30 19 20 17 18 23 24 21 22 13 14 15 16 9 10 11 12 5 6 7 8 1 2 3 4 30 29 32 31 26 25 28 27 22 21 24 23 18 17 20 19 14 13 16 15 10 9 12 11 6 5 8 7 2 1 4 3 29 30 31 32 25 26 27 28 21 22 23 24 17 18 19 20 15 16 13 14 11 12 9 10 7 8 5 6 3 4 1 2 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 31 32 29 30 27 28 25 26 23 24 21 22 19 20 17 18 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 18 17 20 19 22 21 24 23 26 25 28 27 30 29 32 31 2 1 4 3 6 5 8 7 10 9 12 11 14 13 16 15 19 20 17 18 23 24 21 22 27 28 25 26 31 32 29 30 3 4 1 2 7 8 5 6 11 12 9 10 15 16 13 14 20 19 18 17 24 23 22 21 28 27 26 25 32 31 30 29 4 3 2 1 8 7 6 5 12 11 10 9 16 15 14 13 21 22 23 24 17 18 19 20 29 30 31 32 25 26 27 28 5 6 7 8 1 2 3 4 13 14 15 16 9 10 11 12 22 21 24 23 18 17 20 19 30 29 32 31 26 25 28 27 6 5 8 7 2 1 4 3 14 13 16 15 10 9 12 11 23 24 21 22 19 20 17 18 31 32 29 30 27 28 25 26 7 8 5 6 3 4 1 2 15 16 13 14 11 12 9 10 24 23 22 21 20 19 18 17 32 31 30 29 28 27 26 25 8 7 6 5 4 3 2 1 16 15 14 13 12 11 10 9 26 25 28 27 30 29 32 31 18 17 20 19 22 21 24 23 9 10 11 12 13 14 15 16 1 2 3 4 5 6 7 8 25 26 27 28 29 30 31 32 17 18 19 20 21 22 23 24 10 9 12 11 14 13 16 15 2 1 4 3 6 5 8 7 28 27 26 25 32 31 30 29 20 19 18 17 24 23 22 21 11 12 9 10 15 16 13 14 3 4 1 2 7 8 5 6 27 28 25 26 31 32 29 30 19 20 17 18 23 24 21 22 12 11 10 9 16 15 14 13 4 3 2 1 8 7 6 5 30 29 32 31 26 25 28 27 22 21 24 23 18 17 20 19 13 14 15 16 9 10 11 12 5 6 7 8 1 2 3 4 29 30 31 32 25 26 27 28 21 22 23 24 17 18 19 20 14 13 16 15 10 9 12 11 6 5 8 7 2 1 4 3 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 15 16 13 14 11 12 9 10 7 8 5 6 3 4 1 2 31 32 29 30 27 28 25 26 23 24 21 22 19 20 17 18 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1
DihZ2xZ4	16	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 2 1 4 3 6 5 8 7 10 9 12 11 14 13 16 15 3 4 1 2 7 8 5 6 11 12 9 10 15 16 13 14 4 3 2 1 8 7 6 5 12 11 10 9 16 15 14 13 5 6 7 8 1 2 3 4 14 13 16 15 10 9 12 11 6 5 8 7 2 1 4 3 13 14 15 16 9 10 11 12 7 8 5 6 3 4 1 2 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 15 16 13 14 11 12 9 10 9 10 11 12 13 14 15 16 1 2 3 4 5 6 7 8 10 9 12 11 14 13 16 15 2 1 4 3 6 5 8 7 11 12 9 10 15 16 13 14 3 4 1 2 7 8 5 6 12 11 10 9 16 15 14 13 4 3 2 1 8 7 6 5 14 13 16 15 10 9 12 11 5 6 7 8 1 2 3 4 13 14 15 16 9 10 11 12 6 5 8 7 2 1 4 3 16 15 14 13 12 11 10 9 7 8 5 6 3 4 1 2 15 16 13 14 11 12 9 10 8 7 6 5 4 3 2 1
DihZ2xZ8	32	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 2 1 4 3 6 5 8 7 10 9 12 11 14 13 16 15 18 17 20 19 22 21 24 23 26 25 28 27 30 29 32 31 3 4 1 2 7 8 5 6 11 12 9 10 15 16 13 14 19 20 17 18 23 24 21 22 27 28 25 26 31 32 29 30 4 3 2 1 8 7 6 5 12 11 10 9 16 15 14 13 20 19 18 17 24 23 22 21 28 27 26 25 32 31 30 29 5 6 7 8 1 2 3 4 14 13 16 15 10 9 12 11 25 26 27 28 29 30 31 32 17 18 19 20 21 22 23 24 6 5 8 7 2 1 4 3 13 14 15 16 9 10 11 12 26 25 28 27 30 29 32 31 18 17 20 19 22 21 24 23 7 8 5 6 3 4 1 2 16 15 14 13 12 11 10 9 27 28 25 26 31 32 29 30 19 20 17 18 23 24 21 22 8 7 6 5 4 3 2 1 15 16 13 14 11 12 9 10 28 27 26 25 32 31 30 29 20 19 18 17 24 23 22 21 9 10 11 12 13 14 15 16 1 2 3 4 5 6 7 8 22 21 24 23 18 17 20 19 29 30 31 32 25 26 27 28 10 9 12 11 14 13 16 15 2 1 4 3 6 5 8 7 21 22 23 24 17 18 19 20 30 29 32 31 26 25 28 27 11 12 9 10 15 16 13 14 3 4 1 2 7 8 5 6 24 23 22 21 20 19 18 17 31 32 29 30 27 28 25 26 12 11 10 9 16 15 14 13 4 3 2 1 8 7 6 5 23 24 21 22 19 20 17 18 32 31 30 29 28 27 26 25 14 13 16 15 10 9 12 11 5 6 7 8 1 2 3 4 30 29 32 31 26 25 28 27 21 22 23 24 17 18 19 20 13 14 15 16 9 10 11 12 6 5 8 7 2 1 4 3 29 30 31 32 25 26 27 28 22 21 24 23 18 17 20 19 16 15 14 13 12 11 10 9 7 8 5 6 3 4 1 2 32 31 30 29 28 27 26 25 23 24 21 22 19 20 17 18 15 16 13 14 11 12 9 10 8 7 6 5 4 3 2 1 31 32 29 30 27 28 25 26 24 23 22 21 20 19 18 17 29 30 31 32 25 26 27 28 22 21 24 23 18 17 20 19 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 30 29 32 31 26 25 28 27 21 22 23 24 17 18 19 20 2 1 4 3 6 5 8 7 10 9 12 11 14 13 16 15 31 32 29 30 27 28 25 26 24 23 22 21 20 19 18 17 3 4 1 2 7 8 5 6 11 12 9 10 15 16 13 14 32 31 30 29 28 27 26 25 23 24 21 22 19 20 17 18 4 3 2 1 8 7 6 5 12 11 10 9 16 15 14 13 21 22 23 24 17 18 19 20 30 29 32 31 26 25 28 27 5 6 7 8 1 2 3 4 14 13 16 15 10 9 12 11 22 21 24 23 18 17 20 19 29 30 31 32 25 26 27 28 6 5 8 7 2 1 4 3 13 14 15 16 9 10 11 12 23 24 21 22 19 20 17 18 32 31 30 29 28 27 26 25 7 8 5 6 3 4 1 2 16 15 14 13 12 11 10 9 24 23 22 21 20 19 18 17 31 32 29 30 27 28 25 26 8 7 6 5 4 3 2 1 15 16 13 14 11 12 9 10 25 26 27 28 29 30 31 32 17 18 19 20 21 22 23 24 9 10 11 12 13 14 15 16 1 2 3 4 5 6 7 8 26 25 28 27 30 29 32 31 18 17 20 19 22 21 24 23 10 9 12 11 14 13 16 15 2 1 4 3 6 5 8 7 27 28 25 26 31 32 29 30 19 20 17 18 23 24 21 22 11 12 9 10 15 16 13 14 3 4 1 2 7 8 5 6 28 27 26 25 32 31 30 29 20 19 18 17 24 23 22 21 12 11 10 9 16 15 14 13 4 3 2 1 8 7 6 5 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 14 13 16 15 10 9 12 11 5 6 7 8 1 2 3 4 18 17 20 19 22 21 24 23 26 25 28 27 30 29 32 31 13 14 15 16 9 10 11 12 6 5 8 7 2 1 4 3 19 20 17 18 23 24 21 22 27 28 25 26 31 32 29 30 16 15 14 13 12 11 10 9 7 8 5 6 3 4 1 2 20 19 18 17 24 23 22 21 28 27 26 25 32 31 30 29 15 16 13 14 11 12 9 10 8 7 6 5 4 3 2 1
DihZ3xZ3	18	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 3 1 2 6 4 5 9 7 8 11 12 10 14 15 13 17 18 16 2 3 1 5 6 4 8 9 7 12 10 11 15 13 14 18 16 17 7 8 9 1 2 3 4 5 6 13 14 15 16 17 18 10 11 12 9 7 8 3 1 2 6 4 5 14 15 13 17 18 16 11 12 10 8 9 7 2 3 1 5 6 4 15 13 14 18 16 17 12 10 11 4 5 6 7 8 9 1 2 3 16 17 18 10 11 12 13 14 15 6 4 5 9 7 8 3 1 2 17 18 16 11 12 10 14 15 13 5 6 4 8 9 7 2 3 1 18 16 17 12 10 11 15 13 14 10 11 12 13 14 15 16 17 18 1 2 3 4 5 6 7 8 9 11 12 10 14 15 13 17 18 16 3 1 2 6 4 5 9 7 8 12 10 11 15 13 14 18 16 17 2 3 1 5 6 4 8 9 7 13 14 15 16 17 18 10 11 12 7 8 9 1 2 3 4 5 6 14 15 13 17 18 16 11 12 10 9 7 8 3 1 2 6 4 5 15 13 14 18 16 17 12 10 11 8 9 7 2 3 1 5 6 4 16 17 18 10 11 12 13 14 15 4 5 6 7 8 9 1 2 3 17 18 16 11 12 10 14 15 13 6 4 5 9 7 8 3 1 2 18 16 17 12 10 11 15 13 14 5 6 4 8 9 7 2 3 1
